Course date,Year,Quarter,Member,Course code,Course ID,EventbriteID,Status,Registered,Attended,Delivery,Training days,Capacity,Course Type,Day2,Tool,Month,Day,Primary_Trainer,Assistant_Trainer,Unique_ID
2/10/2020,2020,4,UON,QLTRICS101,20201002T1100_UON_QLTRICS101,118240834519,Processed,14,9,Online,0.5,14,,,Qualtrics,10,Fri,SG,,44106_UON_QLTRICS101
06/10/2020,2020,4,UNSW,EXCEL101,20201006T0930_UNSW_EXCEL101,119551643183,Processed,25,18,Online,1,25,,,Excel,10,Tue,HP,SL ,44110_UNSW_EXCEL101
07/10/2020,2020,4,USYD,QLTRICS101,20201007T0930_USYD_QLTRICS101,120328506803,Processed,18,18,Online,0.5,18,,,Qualtrics,10,Wed,JZ,,44111_USYD_QLTRICS101
07/10/2020,2020,4,UON,EXCEL101,20201007T1330_UON_EXCEL101,118250625805,Processed,22,15,Online,1,22,,,Excel,10,Wed,SG,NW,44111_UON_EXCEL101
09/10/2020,2020,4,UON,NVIVO101,20201009T1100_UON_NVIVO101,118240760297,Processed,16,11,Online,0.5,16,,,NVivo,10,Fri,SG,,44113_UON_NVIVO101
09/10/2020,2020,4,Deakin,GIT101,20201009T1300_Deakin_GIT101,https://www.eventbrite.com.au/e/version-control-with-git-deakin-online-tickets-120943518319,Processed,15,15,Online,0.5,15,,,Git,10,Fri,AG,,44113_Deakin_GIT101
12/10/2020,2020,4,UON,SPSS101,20201012T1000_UON_SPSS101,118241506529,Processed,24,21,Online,1,24,,,SPSS,10,Mon,JL,SG,44116_UON_SPSS101
13/10/2020,2020,4,USYD,R102,20201013T0930_USYD_R102,120344221807,Processed,35,26,Online,1,35,,,R,10,Tue,KT,"JZ, AG",44117_USYD_R102
13/10/2020,2020,4,UNSW,PYTHON101,20201013T0930_UNSW_PYTHON101,119553735441,Processed,28,19,Online,1,28,,,Python,10,Tue,MR,SL,44117_UNSW_PYTHON101
14/10/2020,2020,4,WSU,QLTRICS101,20201014T0930_WSU_QLTRICS101,121132397261,Processed,22,17,Online,0.5,22,,,Qualtrics,10,Wed,XW,,44118_WSU_QLTRICS101
15/10/2020,2020,4,UNE,R203,20201015T0900_UNE_R203,124633784003,Processed,9,7,Online,1,9,,,R,10,Thu,NB,PR,44119_UNE_R203
15/10/2020,2020,4,USYD,R102,20201015T0930_USYD_R102,123611540445,Processed,14,12,Online,1,14,,,R,10,Thu,JZ,,44119_USYD_R102
